"","Country","Gender","variable","value"
"3","Kenya","Male","0-4",0.0675489510112077
"4","Kenya","Female","0-4",0.0668306691958718
"7","Kenya","Male","5-9",0.0662540516511306
"8","Kenya","Female","5-9",0.0659456894749806
"11","Kenya","Male","10-14",0.0644379208050016
"12","Kenya","Female","10-14",0.0643292879790467
"15","Kenya","Male","15-19",0.0549842742453846
"16","Kenya","Female","15-19",0.055729768240158
"19","Kenya","Male","20-24",0.0455640320344171
"20","Kenya","Female","20-24",0.0474437626407099
"23","Kenya","Male","25-29",0.0404570527433469
"24","Kenya","Female","25-29",0.0418877578557627
"27","Kenya","Male","30-34",0.037193269278892
"28","Kenya","Female","30-34",0.0370954899222691
"31","Kenya","Male","35-39",0.030949462674762
"32","Kenya","Female","35-39",0.030112459998685
"35","Kenya","Male","40-44",0.0245381632907405
"36","Kenya","Female","40-44",0.0240263427242993
"39","Kenya","Male","45-49",0.0193781531241996
"40","Kenya","Female","45-49",0.0194085742407723
"43","Kenya","Male","50-54",0.0149027849060233
"44","Kenya","Female","50-54",0.01538311471018
"47","Kenya","Male","55-59",0.0107944523659287
"48","Kenya","Female","55-59",0.0116044096880462
"51","Kenya","Male","60-64",0.00733153816034676
"52","Kenya","Female","60-64",0.00829050007409014
"55","Kenya","Male","65-69",0.00468109347231531
"56","Kenya","Female","65-69",0.00556468952306559
"59","Kenya","Male","70-74",0.00341738066335698
"60","Kenya","Female","70-74",0.00403314331584283
"63","Kenya","Male","75-79",0.00176769257793448
"64","Kenya","Female","75-79",0.00276965621194294
"67","Kenya","Male","80-84",0.000978578627301088
"68","Kenya","Female","80-84",0.00188111427643374
"71","Kenya","Male","85-89",0.00051707066236584
"72","Kenya","Female","85-89",0.0010152998589834
"75","Kenya","Male","90-94",0.000213850636242933
"76","Kenya","Female","90-94",0.00042444326903356
"79","Kenya","Male","95-99",7.46200549739016e-05
"80","Kenya","Female","95-99",0.000160289844548094
"83","Kenya","Male","100+",2.09807571717782e-05
"84","Kenya","Female","100+",5.81632122343918e-05
"1","Somalia","Male","0-4",0.0965596948758957
"2","Somalia","Female","0-4",0.0935506781816661
"5","Somalia","Male","5-9",0.0786708816344452
"6","Somalia","Female","5-9",0.0765791557451786
"9","Somalia","Male","10-14",0.0653816002020612
"10","Somalia","Female","10-14",0.0636819262612577
"13","Somalia","Male","15-19",0.0549243786511617
"14","Somalia","Female","15-19",0.0535440779678725
"17","Somalia","Male","20-24",0.0452933727139415
"18","Somalia","Female","20-24",0.0444753228937783
"21","Somalia","Male","25-29",0.0335661669086318
"22","Somalia","Female","25-29",0.0333069264294229
"25","Somalia","Male","30-34",0.0289693883173025
"26","Somalia","Female","30-34",0.0290057120194943
"29","Somalia","Male","35-39",0.0237449073684585
"30","Somalia","Female","35-39",0.0240256104313914
"33","Somalia","Male","40-44",0.0186769843918522
"34","Somalia","Female","40-44",0.0190371866169465
"37","Somalia","Male","45-49",0.0148260462282153
"38","Somalia","Female","45-49",0.0154263415546188
"41","Somalia","Male","50-54",0.0118867047146758
"42","Somalia","Female","50-54",0.0128066235911151
"45","Somalia","Male","55-59",0.00954143250106585
"46","Somalia","Female","55-59",0.0105062475985606
"49","Somalia","Male","60-64",0.00749641745363589
"50","Somalia","Female","60-64",0.00843692288997382
"53","Somalia","Male","65-69",0.00555890304421721
"54","Somalia","Female","65-69",0.00643186078629834
"57","Somalia","Male","70-74",0.00324857792393053
"58","Somalia","Female","70-74",0.00392267825762991
"61","Somalia","Male","75-79",0.00176816023201616
"62","Somalia","Female","75-79",0.00228213592504565
"65","Somalia","Male","80-84",0.000851463871791911
"66","Somalia","Female","80-84",0.00117581169317228
"69","Somalia","Male","85-89",0.00027072264863551
"70","Somalia","Female","85-89",0.00039564990346061
"73","Somalia","Male","90-94",5.48453487874782e-05
"74","Somalia","Female","90-94",9.73637908879819e-05
"77","Somalia","Male","95-99",5.88187425672898e-06
"78","Somalia","Female","95-99",1.38912349467429e-05
"81","Somalia","Male","100+",2.81579086758302e-07
"82","Somalia","Female","100+",1.06374321664248e-06
